name,page
Prologue,1
Arya,22
Sansa,28
Tyrion,39
Bran,52
Arya,61
Jon,70
Catelyn,81
Tyrion,93
Arya,104
Davos,111
Theon,125
Deanerys,142
Jon,154
Arya,160
Tyrion,172
Bran,183
Tyrion,197
Sansa,211
Arya,219
Tyrion,232
Bran,244
Catelyn,252
Jon,265
Theon,284
Tyrion,299
Arya,311
Deanerys,317
Bran,325
Tyrion,333
Arya,341
Catelyn,352
Sansa,364
Catelyn,372
Jon,381
Bran,390
Tyrion,397
Theon,404
Arya,411
Catelyn,418
Deanerys,431
Tyrion,441
Davos,454
Jon,469
Tyrion,477
Catelyn,488
Bran,498
Arya,507
Deanerys,523
Tyrion,533
Theon,541
Jon,553
Sansa,564
Jon,573
Tyrion,581
Catelyn,589
Theon,602
Sansa,611
Davos,617
Tyrion,630
Sansa,636
Tyrion,642
Sansa,649
Deanerys,656
Arya,667
Sansa,681
Theon,690
Tyrion,701
Jon,709
Bran,719